timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 13:40:02,2026-03-30 09:40:02,GG,2,0.01,0.99,0.98,99.26,6866.22,0.01,0.99,0.98,93.47,7176.93,0.35,SELL,PENDING
2026-03-30 13:40:04,2026-03-30 09:40:04,GG,4,0.01,0.99,0.98,99.26,6866.22,0.01,0.99,0.98,93.47,7176.93,0.31,SELL,PENDING
2026-03-30 13:40:05,2026-03-30 09:40:05,GG,5,0.01,0.99,0.98,98.76,6866.22,0.01,0.99,0.98,93.47,7168.43,0.32,BUY,PENDING
2026-03-30 13:40:07,2026-03-30 09:40:07,GG,7,0.01,0.99,0.98,97.76,6866.22,0.01,0.99,0.98,93.47,7168.43,0.3,SELL,PENDING
2026-03-30 13:40:09,2026-03-30 09:40:09,GG,9,0.01,0.99,0.98,97.66,6866.22,0.01,0.99,0.98,93.47,7159.53,0.32,BUY,PENDING
2026-03-30 13:40:10,2026-03-30 09:40:10,GG,10,0.01,0.99,0.98,97.26,6866.22,0.01,0.99,0.98,93.47,7178.93,0.29,SELL,PENDING
2026-03-30 13:40:12,2026-03-30 09:40:12,GG,12,0.01,0.99,0.98,97.46,6866.22,0.01,0.99,0.98,93.47,7178.73,0.29,SELL,PENDING
2026-03-30 13:40:13,2026-03-30 09:40:13,GG,13,0.01,0.99,0.98,96.66,6866.22,0.01,0.99,0.98,93.47,7159.53,0.3,BUY,PENDING
2026-03-30 13:40:15,2026-03-30 09:40:15,GG,15,0.01,0.99,0.98,96.66,6866.22,0.01,0.99,0.98,93.47,7158.53,0.3,BUY,PENDING
2026-03-30 13:40:17,2026-03-30 09:40:17,GG,17,0.01,0.99,0.98,98.66,6866.22,0.01,0.99,0.98,93.47,7157.53,0.33,BUY,PENDING
2026-03-30 13:40:18,2026-03-30 09:40:18,GG,18,0.01,0.99,0.98,98.66,6866.22,0.01,0.99,0.98,93.47,7157.53,0.33,BUY,PENDING
2026-03-30 13:40:20,2026-03-30 09:40:20,GG,20,0.01,0.99,0.98,98.66,6866.22,0.01,0.99,0.98,93.47,7162.48,0.36,BUY,PENDING
2026-03-30 13:40:22,2026-03-30 09:40:22,GG,22,0.01,0.99,0.98,98.71,6866.22,0.01,0.99,0.98,93.47,7162.48,0.36,BUY,PENDING
2026-03-30 13:40:23,2026-03-30 09:40:23,GG,23,0.01,0.99,0.98,98.71,6866.22,0.01,0.99,0.98,93.47,7162.48,0.36,BUY,PENDING
2026-03-30 13:40:25,2026-03-30 09:40:25,GG,25,0.01,0.99,0.98,98.71,6866.22,0.01,0.99,0.98,93.47,7162.48,0.35,SELL,PENDING
2026-03-30 13:40:26,2026-03-30 09:40:26,GG,26,0.01,0.99,0.98,98.71,6866.22,0.01,0.99,0.98,93.47,7162.48,0.35,SELL,PENDING
