timestamp_utc,timestamp_et,sequence_type,seconds_elapsed,yes_best_bid,yes_best_ask,yes_spread,yes_bid_liq,yes_ask_liq,no_best_bid,no_best_ask,no_spread,no_bid_liq,no_ask_liq,last_trade_price,last_trade_side,candle_outcome
2026-03-30 14:10:02,2026-03-30 10:10:02,RR,2,0.01,0.99,0.98,79.03,8254.43,0.01,0.99,0.98,136.64,6398.81,0.95,BUY,PENDING
2026-03-30 14:10:04,2026-03-30 10:10:04,RR,4,0.01,0.99,0.98,79.03,8672.6,0.01,0.99,0.98,134.35,6398.81,0.95,BUY,PENDING
2026-03-30 14:10:06,2026-03-30 10:10:06,RR,6,0.01,0.99,0.98,79.03,7452.27,0.01,0.99,0.98,87.86,6398.81,0.96,BUY,PENDING
2026-03-30 14:10:07,2026-03-30 10:10:07,RR,7,0.01,0.99,0.98,79.03,6544.03,0.01,0.99,0.98,73.24,6398.81,0.97,BUY,PENDING
2026-03-30 14:10:09,2026-03-30 10:10:09,RR,9,0.01,0.99,0.98,79.03,6910.08,0.01,0.99,0.98,74.34,6398.81,0.97,SELL,PENDING
2026-03-30 14:10:10,2026-03-30 10:10:10,RR,10,0.01,0.99,0.98,79.03,8812.06,0.01,0.99,0.98,97.83,6398.81,0.97,BUY,PENDING
2026-03-30 14:10:12,2026-03-30 10:10:12,RR,12,0.01,0.99,0.98,79.03,8225.11,0.01,0.99,0.98,89.92,6398.81,0.98,BUY,PENDING
2026-03-30 14:10:14,2026-03-30 10:10:14,RR,14,0.01,0.99,0.98,79.03,8446.57,0.01,0.99,0.98,89.62,6398.81,0.98,BUY,PENDING
2026-03-30 14:10:15,2026-03-30 10:10:15,RR,15,0.01,0.99,0.98,79.03,8241.43,0.01,0.99,0.98,84.17,6398.81,0.98,BUY,PENDING
2026-03-30 14:10:17,2026-03-30 10:10:17,RR,17,0.01,0.99,0.98,79.03,8702.43,0.01,0.99,0.98,98.53,6398.81,0.97,BUY,PENDING
2026-03-30 14:10:18,2026-03-30 10:10:18,RR,18,0.01,0.99,0.98,79.03,8675.7,0.01,0.99,0.98,99.45,6398.81,0.97,BUY,PENDING
2026-03-30 14:10:20,2026-03-30 10:10:20,RR,20,0.01,0.99,0.98,79.03,8719.93,0.01,0.99,0.98,99.64,6398.81,0.97,BUY,PENDING
2026-03-30 14:10:22,2026-03-30 10:10:22,RR,22,0.01,0.99,0.98,79.03,8738.12,0.01,0.99,0.98,121.47,6398.81,0.96,BUY,PENDING
2026-03-30 14:10:23,2026-03-30 10:10:23,RR,23,0.01,0.99,0.98,79.03,9132.47,0.01,0.99,0.98,115.59,6398.81,0.96,BUY,PENDING
2026-03-30 14:10:25,2026-03-30 10:10:25,RR,25,0.01,0.99,0.98,79.03,8579.77,0.01,0.99,0.98,106.43,6398.81,0.96,BUY,PENDING
2026-03-30 14:10:26,2026-03-30 10:10:26,RR,26,0.01,0.99,0.98,79.08,8762.24,0.01,0.99,0.98,105.61,6398.81,0.96,BUY,PENDING
2026-03-30 14:10:28,2026-03-30 10:10:28,RR,28,0.01,0.99,0.98,79.03,7869.13,0.01,0.99,0.98,78.56,6398.81,0.96,BUY,PENDING
2026-03-30 14:10:30,2026-03-30 10:10:30,RR,30,0.01,0.99,0.98,79.03,8057.29,0.01,0.99,0.98,84.55,6398.81,0.96,BUY,PENDING
2026-03-30 14:10:31,2026-03-30 10:10:31,RR,31,0.01,0.99,0.98,79.03,7879.04,0.01,0.99,0.98,82.65,6398.81,0.96,BUY,PENDING
2026-03-30 14:10:33,2026-03-30 10:10:33,RR,33,0.01,0.99,0.98,79.03,7878.99,0.01,0.99,0.98,82.64,6398.81,0.98,BUY,PENDING
2026-03-30 14:10:35,2026-03-30 10:10:35,RR,35,0.01,0.99,0.98,79.03,7883.94,0.01,0.99,0.98,82.64,6398.81,0.98,BUY,PENDING
2026-03-30 14:10:36,2026-03-30 10:10:36,RR,36,0.01,0.99,0.98,79.03,7888.74,0.01,0.99,0.98,82.84,6398.81,0.98,BUY,PENDING
2026-03-30 14:10:38,2026-03-30 10:10:38,RR,38,0.01,0.99,0.98,79.03,7981.94,0.01,0.99,0.98,82.01,6403.76,0.98,BUY,PENDING
2026-03-30 14:10:39,2026-03-30 10:10:39,RR,39,0.01,0.99,0.98,79.03,7842.79,0.01,0.99,0.98,79.75,6786.81,0.98,BUY,PENDING
2026-03-30 14:10:41,2026-03-30 10:10:41,RR,41,0.01,0.99,0.98,94.03,7691.94,0.01,0.99,0.98,79.75,6883.81,0.97,SELL,PENDING
2026-03-30 14:10:43,2026-03-30 10:10:43,RR,43,0.01,0.99,0.98,94.15,7791.73,0.01,0.99,0.98,82.09,6889.69,0.98,BUY,PENDING
2026-03-30 14:10:44,2026-03-30 10:10:44,RR,44,0.01,0.99,0.98,94.27,8522.58,0.01,0.99,0.98,97.76,6895.57,0.94,SELL,PENDING
2026-03-30 14:10:46,2026-03-30 10:10:46,RR,46,0.01,0.99,0.98,94.27,8724.65,0.01,0.99,0.98,109.07,6889.69,0.96,BUY,PENDING
2026-03-30 14:10:48,2026-03-30 10:10:48,RR,48,0.01,0.99,0.98,94.03,9441.88,0.01,0.99,0.98,128.78,6883.81,0.93,BUY,PENDING
2026-03-30 14:10:49,2026-03-30 10:10:49,RR,49,0.01,0.99,0.98,94.03,9272.49,0.01,0.99,0.98,135.3,6888.76,0.9,SELL,PENDING
2026-03-30 14:10:51,2026-03-30 10:10:51,RR,51,0.01,0.99,0.98,94.03,9739.79,0.01,0.99,0.98,150.49,6883.81,0.9,SELL,PENDING
2026-03-30 14:10:52,2026-03-30 10:10:52,RR,52,0.01,0.99,0.98,94.03,9438.11,0.01,0.99,0.98,119.64,6883.81,0.92,BUY,PENDING
2026-03-30 14:10:54,2026-03-30 10:10:54,RR,54,0.01,0.99,0.98,94.08,9348.52,0.01,0.99,0.98,124.92,6883.81,0.94,BUY,PENDING
2026-03-30 14:10:56,2026-03-30 10:10:56,RR,56,0.01,0.99,0.98,94.03,8483.33,0.01,0.99,0.98,107.3,6883.81,0.9,SELL,PENDING
2026-03-30 14:10:57,2026-03-30 10:10:57,RR,57,0.01,0.99,0.98,94.03,8883.01,0.01,0.99,0.98,110.02,6883.81,0.9,SELL,PENDING
2026-03-30 14:10:59,2026-03-30 10:10:59,RR,59,0.01,0.99,0.98,94.03,8563.54,0.01,0.99,0.98,116.09,6883.81,0.92,BUY,PENDING
2026-03-30 14:11:01,2026-03-30 10:11:01,RR,61,0.01,0.99,0.98,94.03,9417.18,0.01,0.99,0.98,113.14,6883.81,0.96,BUY,PENDING
