timestamp_et,sequence_type,seconds_elapsed,up_ask,up_liq_$,down_ask,down_liq_$,candle_outcome
2026-03-31 09:40:02,GG,2,0.99,3808.89,0.99,3965.04,UP
2026-03-31 09:40:03,GG,3,0.99,3808.89,0.99,4470.71,UP
2026-03-31 09:40:05,GG,5,0.99,3808.89,0.99,4249.91,UP
2026-03-31 09:40:06,GG,6,0.99,3808.89,0.99,3890.56,UP
2026-03-31 09:40:07,GG,7,0.99,3808.89,0.99,4379.56,UP
2026-03-31 09:40:09,GG,9,0.99,3808.89,0.99,3984.96,UP
2026-03-31 09:40:10,GG,10,0.99,3808.89,0.99,2854.22,UP
2026-03-31 09:40:11,GG,11,0.99,3808.89,0.99,3597.43,UP
2026-03-31 09:40:13,GG,13,0.99,3808.89,0.99,3952.73,UP
2026-03-31 09:40:14,GG,14,0.99,3808.89,0.99,3515.96,UP
2026-03-31 09:40:15,GG,15,0.99,3808.89,0.99,2595.5,UP
2026-03-31 09:40:17,GG,17,0.99,3808.89,0.99,3479.73,UP
2026-03-31 09:40:18,GG,18,0.99,3808.89,0.99,3440.74,UP
2026-03-31 09:40:20,GG,20,0.99,3808.89,0.99,3554.87,UP
2026-03-31 09:40:21,GG,21,0.99,3808.89,0.99,3315.84,UP
2026-03-31 09:40:22,GG,22,0.99,3808.89,0.99,3095.65,UP
2026-03-31 09:40:24,GG,24,0.99,3808.89,0.99,3496.73,UP
2026-03-31 09:40:25,GG,25,0.99,3808.89,0.99,3426.63,UP
2026-03-31 09:40:26,GG,26,0.99,3808.89,0.99,3427.7,UP
2026-03-31 09:40:28,GG,28,0.99,3808.89,0.99,3962.9,UP
2026-03-31 09:40:29,GG,29,0.99,3808.89,0.99,3561.3,UP
2026-03-31 09:40:30,GG,30,0.99,3808.89,0.99,3709.01,UP
2026-03-31 09:40:32,GG,32,0.99,3799.09,0.99,3929.54,UP
2026-03-31 09:40:33,GG,33,0.99,3799.09,0.99,3603.31,UP
2026-03-31 09:40:34,GG,34,0.99,3799.09,0.99,3608.11,UP
2026-03-31 09:40:36,GG,36,0.99,3799.09,0.99,3510.19,UP
2026-03-31 09:40:37,GG,37,0.99,3799.09,0.99,3557.14,UP
2026-03-31 09:40:39,GG,39,0.99,3799.09,0.99,3237.89,UP
2026-03-31 09:40:40,GG,40,0.99,3799.09,0.99,2902.25,UP
2026-03-31 09:40:41,GG,41,0.99,3799.09,0.99,3116.63,UP
2026-03-31 09:40:43,GG,43,0.99,3799.09,0.99,2942.61,UP
2026-03-31 09:40:44,GG,44,0.99,3799.09,0.99,3571.47,UP
2026-03-31 09:40:45,GG,45,0.99,3799.09,0.99,3715.15,UP
2026-03-31 09:40:47,GG,47,0.99,3799.09,0.99,3816.1,UP
2026-03-31 09:40:48,GG,48,0.99,3799.09,0.99,4005.14,UP
2026-03-31 09:40:49,GG,49,0.99,3799.09,0.99,4132.1,UP
2026-03-31 09:40:51,GG,51,0.99,3799.09,0.99,3991.94,UP
2026-03-31 09:40:52,GG,52,0.99,3799.09,0.99,3795.92,UP
2026-03-31 09:40:53,GG,53,0.99,3799.09,0.99,3607.62,UP
2026-03-31 09:40:55,GG,55,0.99,3799.09,0.99,3397.09,UP
2026-03-31 09:40:56,GG,56,0.99,3799.09,0.99,3722.87,UP
2026-03-31 09:40:58,GG,58,0.99,3799.09,0.99,4178.47,UP
2026-03-31 09:40:59,GG,59,0.99,3799.09,0.99,4251.34,UP
2026-03-31 09:41:00,GG,60,0.99,3799.09,0.99,3927.39,UP
2026-03-31 09:41:02,GG,62,0.99,3799.09,0.99,4024.63,UP
2026-03-31 09:41:03,GG,63,0.99,3799.09,0.99,4164.38,UP
2026-03-31 09:41:04,GG,64,0.99,3799.09,0.99,3319.03,UP
2026-03-31 09:41:06,GG,66,0.99,3799.09,0.99,3361.45,UP
2026-03-31 09:41:07,GG,67,0.99,3799.09,0.99,3371.46,UP
2026-03-31 09:41:08,GG,68,0.99,3799.09,0.99,2869.43,UP
2026-03-31 09:41:10,GG,70,0.99,3799.09,0.99,2729.17,UP
2026-03-31 09:41:11,GG,71,0.99,2809.09,0.99,2724.5,UP
2026-03-31 09:41:12,GG,72,0.99,2809.09,0.99,3499.17,UP
2026-03-31 09:41:14,GG,74,0.99,2809.09,0.99,3863.59,UP
2026-03-31 09:41:15,GG,75,0.99,2809.09,0.99,3525.04,UP
2026-03-31 09:41:17,GG,77,0.99,2809.09,0.99,3569.66,UP
2026-03-31 09:41:18,GG,78,0.99,2809.09,0.99,3383.49,UP
2026-03-31 09:41:19,GG,79,0.99,2809.09,0.99,3480.47,UP
2026-03-31 09:41:21,GG,81,0.99,2809.09,0.99,3250.18,UP
2026-03-31 09:41:22,GG,82,0.99,2809.09,0.99,3373.68,UP
2026-03-31 09:41:23,GG,83,0.99,2809.09,0.99,3853.92,UP
2026-03-31 09:41:25,GG,85,0.99,2809.09,0.99,3866.53,UP
2026-03-31 09:41:26,GG,86,0.99,2809.09,0.99,3196.5,UP
2026-03-31 09:41:27,GG,87,0.99,2809.09,0.99,3290.01,UP
2026-03-31 09:41:29,GG,89,0.99,2809.09,0.99,3497.76,UP
2026-03-31 09:41:30,GG,90,0.99,2809.09,0.99,3303.12,UP
2026-03-31 09:41:32,GG,92,0.99,2809.09,0.99,2731.22,UP
2026-03-31 09:41:33,GG,93,0.99,2809.09,0.99,3440.85,UP
2026-03-31 09:41:34,GG,94,0.99,2809.09,0.99,3465.27,UP
