timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 05:55:02,GG,2,0.001,0.999,1.68,2865.01,0.001,0.001,0.999,24.58,1616.38,0.998,PENDING
2026-04-01 05:55:04,GG,4,0.001,0.999,1.68,2865.01,0.001,0.001,0.999,24.58,1616.38,0.998,PENDING
2026-04-01 05:55:05,GG,5,0.001,0.999,1.69,2875.0,0.001,0.001,0.999,24.6,1636.36,0.998,PENDING
2026-04-01 05:55:07,GG,7,0.001,0.999,1.7,2884.99,0.001,0.001,0.999,24.6,1737.85,0.998,PENDING
2026-04-01 05:55:08,GG,8,0.001,0.999,2.21,2884.99,0.001,0.001,0.999,24.6,1737.85,0.998,PENDING
2026-04-01 05:55:10,GG,10,0.001,0.999,4.13,2884.99,0.001,0.001,0.999,24.6,2215.93,0.998,PENDING
2026-04-01 05:55:11,GG,11,0.001,0.999,4.13,2884.99,0.001,0.001,0.999,24.6,2264.46,0.995,PENDING
2026-04-01 05:55:13,GG,13,0.001,0.999,4.41,2889.94,0.001,0.001,0.999,24.6,2311.65,0.995,PENDING
2026-04-01 05:55:15,GG,15,0.001,0.999,4.41,2884.99,0.001,0.001,0.999,24.6,2311.65,0.995,PENDING
2026-04-01 05:55:16,GG,16,0.001,0.999,4.58,2884.99,0.001,0.001,0.999,24.6,2208.91,0.995,PENDING
2026-04-01 05:55:18,GG,18,0.001,0.999,5.66,2889.94,0.001,0.001,0.999,24.6,2310.4,0.995,PENDING
2026-04-01 05:55:19,GG,19,0.001,0.999,5.66,2884.99,0.001,0.001,0.999,24.6,2310.4,0.995,PENDING
2026-04-01 05:55:21,GG,21,0.001,0.999,5.66,2884.99,0.001,0.001,0.999,24.6,2310.4,0.995,PENDING
2026-04-01 05:55:22,GG,22,0.001,0.999,5.66,2884.99,0.001,0.001,0.999,24.6,2310.4,0.995,PENDING
2026-04-01 05:55:24,GG,24,0.001,0.999,5.66,2884.99,0.001,0.001,0.999,24.6,2310.4,0.995,PENDING
2026-04-01 05:55:25,GG,25,0.001,0.999,5.66,2884.99,0.001,0.001,0.999,24.6,2310.4,0.995,PENDING
2026-04-01 05:55:27,GG,27,0.001,0.999,5.66,2884.99,0.001,0.001,0.999,24.6,2310.4,0.995,PENDING
2026-04-01 05:55:28,GG,28,0.001,0.999,5.66,2884.99,0.001,0.001,0.999,24.6,2310.4,0.995,PENDING
2026-04-01 05:55:30,GG,30,0.001,0.999,5.66,2884.99,0.001,0.001,0.999,24.6,2310.4,0.995,PENDING
2026-04-01 05:55:31,GG,31,0.001,0.999,5.66,2884.99,0.001,0.001,0.999,24.6,2310.4,0.995,PENDING
2026-04-01 05:55:33,GG,33,0.001,0.999,4.51,2884.99,0.001,0.001,0.999,24.6,2210.54,0.995,PENDING
2026-04-01 05:55:35,GG,35,0.001,0.999,3.64,2884.99,0.001,0.001,0.999,24.6,2312.42,0.995,PENDING
