timestamp_et,sequence_type,seconds_elapsed,up_bid,up_ask,up_bid_liq,up_ask_liq,up_last,down_bid,down_ask,down_bid_liq,down_ask_liq,down_last,candle_outcome
2026-04-01 08:40:02,RR,2,0.001,0.999,27.38,1893.43,0.988,0.001,0.999,4.11,3122.14,0.032,UP
2026-04-01 08:40:03,RR,3,0.001,0.999,27.38,2050.88,0.975,0.001,0.999,7.41,3122.14,0.032,UP
2026-04-01 08:40:05,RR,5,0.001,0.999,27.38,1955.46,0.989,0.001,0.999,5.88,3122.14,0.032,UP
2026-04-01 08:40:06,RR,6,0.001,0.999,27.38,1940.66,0.989,0.001,0.999,5.66,3122.14,0.01,UP
2026-04-01 08:40:08,RR,8,0.001,0.999,27.38,2386.85,0.989,0.001,0.999,7.04,3122.14,0.024,UP
2026-04-01 08:40:10,RR,10,0.001,0.999,27.38,2400.8,0.989,0.001,0.999,9.46,3122.14,0.024,UP
2026-04-01 08:40:11,RR,11,0.001,0.999,27.38,2562.04,0.98,0.001,0.999,9.57,3122.14,0.024,UP
2026-04-01 08:40:13,RR,13,0.001,0.999,27.38,2296.21,0.98,0.001,0.999,6.79,3122.14,0.024,UP
2026-04-01 08:40:14,RR,14,0.001,0.999,27.38,2296.21,0.99,0.001,0.999,6.79,3122.14,0.024,UP
2026-04-01 08:40:16,RR,16,0.001,0.999,27.38,2296.21,0.99,0.001,0.999,6.79,3122.14,0.024,UP
2026-04-01 08:40:17,RR,17,0.001,0.999,27.38,2264.85,0.99,0.001,0.999,7.15,3122.14,0.02,UP
2026-04-01 08:40:19,RR,19,0.001,0.999,27.38,2423.25,0.99,0.001,0.999,8.75,3122.14,0.02,UP
2026-04-01 08:40:20,RR,20,0.001,0.999,27.38,2423.25,0.98,0.001,0.999,8.75,3122.14,0.02,UP
2026-04-01 08:40:22,RR,22,0.001,0.999,27.38,2362.64,0.98,0.001,0.999,7.51,3122.14,0.02,UP
2026-04-01 08:40:23,RR,23,0.001,0.999,27.38,2300.49,0.98,0.001,0.999,7.51,3122.14,0.02,UP
2026-04-01 08:40:25,RR,25,0.001,0.999,27.38,2305.44,0.98,0.001,0.999,7.56,3122.14,0.02,UP
2026-04-01 08:40:27,RR,27,0.001,0.999,27.38,2305.44,0.98,0.001,0.999,7.56,3122.14,0.02,UP
2026-04-01 08:40:28,RR,28,0.001,0.999,27.38,2305.44,0.98,0.001,0.999,7.56,3122.14,0.02,UP
2026-04-01 08:40:30,RR,30,0.001,0.999,27.38,2300.49,0.98,0.001,0.999,7.51,3122.14,0.02,UP
2026-04-01 08:40:31,RR,31,0.001,0.999,27.38,2295.84,0.99,0.001,0.999,7.16,3122.14,0.02,UP
2026-04-01 08:40:33,RR,33,0.001,0.999,27.38,2295.84,0.99,0.001,0.999,7.16,3122.14,0.02,UP
2026-04-01 08:40:34,RR,34,0.001,0.999,27.38,2295.74,0.99,0.001,0.999,6.44,3122.14,0.02,UP
2026-04-01 08:40:36,RR,36,0.001,0.999,27.38,2295.64,0.99,0.001,0.999,7.36,3122.14,0.02,UP
2026-04-01 08:40:37,RR,37,0.001,0.999,27.38,2300.59,0.99,0.001,0.999,8.87,3122.14,0.017,UP
2026-04-01 08:40:39,RR,39,0.001,0.999,27.38,2345.14,0.99,0.001,0.999,7.86,3122.14,0.017,UP
2026-04-01 08:40:40,RR,40,0.001,0.999,27.38,2295.64,0.99,0.001,0.999,7.36,3122.14,0.017,UP
2026-04-01 08:40:42,RR,42,0.001,0.999,27.38,2295.64,0.99,0.001,0.999,7.36,3122.14,0.017,UP
2026-04-01 08:40:44,RR,44,0.001,0.999,27.38,2295.64,0.99,0.001,0.999,7.36,3122.14,0.017,UP
2026-04-01 08:40:45,RR,45,0.001,0.999,27.38,2295.16,0.99,0.001,0.999,7.84,3122.14,0.01,UP
2026-04-01 08:40:47,RR,47,0.001,0.999,27.38,2800.31,0.99,0.001,0.999,19.22,3122.14,0.02,UP
2026-04-01 08:40:48,RR,48,0.001,0.999,27.38,2193.49,0.969,0.001,0.999,7.6,3416.14,0.03,UP
2026-04-01 08:40:50,RR,50,0.001,0.999,33.38,2761.37,0.969,0.001,0.999,14.23,3416.14,0.029,UP
2026-04-01 08:40:51,RR,51,0.001,0.999,33.38,2302.26,0.98,0.001,0.999,9.22,3416.14,0.029,UP
2026-04-01 08:40:53,RR,53,0.001,0.999,33.38,2592.6,0.98,0.001,0.999,12.21,3416.14,0.029,UP
2026-04-01 08:40:55,RR,55,0.001,0.999,33.38,2394.4,0.98,0.001,0.999,10.41,3416.14,0.029,UP
2026-04-01 08:40:56,RR,56,0.001,0.999,33.38,2401.33,0.98,0.001,0.999,10.48,3416.14,0.029,UP
2026-04-01 08:40:58,RR,58,0.001,0.999,33.38,2401.33,0.98,0.001,0.999,10.48,3416.14,0.029,UP
2026-04-01 08:40:59,RR,59,0.001,0.999,33.38,2376.87,0.988,0.001,0.999,10.29,3416.14,0.029,UP
2026-04-01 08:41:01,RR,61,0.001,0.999,33.38,2273.74,0.988,0.001,0.999,9.04,3416.14,0.029,UP
2026-04-01 08:41:02,RR,62,0.001,0.999,33.38,2323.18,0.988,0.001,0.999,9.64,3416.14,0.029,UP
2026-04-01 08:41:04,RR,64,0.001,0.999,33.39,2405.29,0.988,0.001,0.999,10.53,3426.13,0.029,UP
2026-04-01 08:41:06,RR,66,0.001,0.999,33.39,2386.51,0.988,0.001,0.999,10.31,3426.13,0.029,UP
2026-04-01 08:41:07,RR,67,0.001,0.999,33.39,2386.51,0.988,0.001,0.999,10.31,3426.13,0.029,UP
2026-04-01 08:41:09,RR,69,0.001,0.999,33.39,2386.51,0.988,0.001,0.999,10.31,3426.13,0.029,UP
2026-04-01 08:41:10,RR,70,0.001,0.999,33.39,2295.8,0.988,0.001,0.999,9.2,3426.13,0.029,UP
2026-04-01 08:41:12,RR,72,0.001,0.999,33.39,2208.63,0.988,0.001,0.999,7.37,3426.13,0.029,UP
2026-04-01 08:41:13,RR,73,0.001,0.999,33.39,2319.35,0.988,0.001,0.999,4.29,3426.13,0.029,UP
2026-04-01 08:41:15,RR,75,0.001,0.999,33.39,2308.24,0.988,0.001,0.999,4.76,3426.13,0.029,UP
2026-04-01 08:41:16,RR,76,0.001,0.999,33.4,2312.09,0.991,0.001,0.999,4.73,3436.12,0.029,UP
2026-04-01 08:41:18,RR,78,0.001,0.999,33.4,2312.09,0.991,0.001,0.999,4.73,3436.12,0.029,UP
2026-04-01 08:41:19,RR,79,0.001,0.999,33.4,2302.08,0.994,0.001,0.999,4.67,3436.12,0.029,UP
2026-04-01 08:41:21,RR,81,0.001,0.999,33.4,2302.08,0.99,0.001,0.999,4.67,3436.12,0.029,UP
2026-04-01 08:41:23,RR,83,0.001,0.999,33.4,2550.82,0.994,0.001,0.999,4.92,3436.12,0.029,UP
2026-04-01 08:41:24,RR,84,0.001,0.999,33.4,2550.82,0.994,0.001,0.999,4.92,3436.12,0.029,UP
2026-04-01 08:41:26,RR,86,0.001,0.999,33.4,2550.82,0.994,0.001,0.999,4.92,3436.12,0.029,UP
2026-04-01 08:41:27,RR,87,0.001,0.999,33.4,2550.82,0.994,0.001,0.999,4.92,3436.12,0.029,UP
2026-04-01 08:41:29,RR,89,0.001,0.999,33.4,2550.82,0.994,0.001,0.999,4.92,3436.12,0.029,UP
2026-04-01 08:41:30,RR,90,0.001,0.999,33.4,2550.82,0.994,0.001,0.999,4.92,3142.12,0.022,UP
2026-04-01 08:41:32,RR,92,0.001,0.999,27.4,2550.82,0.99,0.001,0.999,4.92,3142.12,0.022,UP
2026-04-01 08:41:33,RR,93,0.001,0.999,27.4,2550.82,0.99,0.001,0.999,4.92,3142.12,0.022,UP
2026-04-01 08:41:35,RR,95,0.001,0.999,27.4,2665.69,0.98,0.001,0.999,4.44,3142.12,0.028,UP
2026-04-01 08:41:37,RR,97,0.001,0.999,27.4,2551.3,0.98,0.001,0.999,4.44,3142.12,0.028,UP
2026-04-01 08:41:38,RR,98,0.001,0.999,27.4,2551.3,0.99,0.001,0.999,4.44,3142.12,0.028,UP
2026-04-01 08:41:40,RR,100,0.001,0.999,27.4,2551.3,0.99,0.001,0.999,4.44,3142.12,0.028,UP
2026-04-01 08:41:41,RR,101,0.001,0.999,27.4,2550.82,0.99,0.001,0.999,4.92,3142.12,0.028,UP
2026-04-01 08:41:43,RR,103,0.001,0.999,27.4,2550.82,0.99,0.001,0.999,4.92,3142.12,0.028,UP
2026-04-01 08:41:44,RR,104,0.001,0.999,27.4,2550.82,0.99,0.001,0.999,4.92,3142.12,0.028,UP
2026-04-01 08:41:46,RR,106,0.001,0.999,27.45,2550.82,0.99,0.001,0.999,4.92,3142.12,0.028,UP
2026-04-01 08:41:47,RR,107,0.001,0.999,27.4,2550.82,0.99,0.001,0.999,4.92,3142.12,0.028,UP
2026-04-01 08:41:49,RR,109,0.001,0.999,27.4,2568.28,0.99,0.001,0.999,4.72,3142.12,0.028,UP
2026-04-01 08:41:51,RR,111,0.001,0.999,27.4,2568.28,0.99,0.001,0.999,4.72,3142.12,0.028,UP
2026-04-01 08:41:52,RR,112,0.001,0.999,27.4,2568.28,0.99,0.001,0.999,4.72,3142.12,0.028,UP
2026-04-01 08:41:54,RR,114,0.001,0.999,27.4,2568.28,0.99,0.001,0.999,4.72,3142.12,0.028,UP
2026-04-01 08:41:55,RR,115,0.001,0.999,27.4,2568.28,0.99,0.001,0.999,4.72,3142.12,0.028,UP
2026-04-01 08:41:57,RR,117,0.001,0.999,27.4,2569.24,0.99,0.001,0.999,3.76,3142.12,0.028,UP
2026-04-01 08:41:58,RR,118,0.001,0.999,27.4,2569.24,0.99,0.001,0.999,3.76,3142.12,0.028,UP
2026-04-01 08:42:00,RR,120,0.001,0.999,27.4,2569.24,0.99,0.001,0.999,3.76,3142.12,0.028,UP
2026-04-01 08:42:01,RR,121,0.001,0.999,27.4,2569.24,0.99,0.001,0.999,3.76,3142.12,0.028,UP
2026-04-01 08:42:03,RR,123,0.001,0.999,27.4,2569.53,0.99,0.001,0.999,3.47,3142.12,0.028,UP
2026-04-01 08:42:05,RR,125,0.001,0.999,27.4,2569.53,0.99,0.001,0.999,3.47,3142.12,0.028,UP
2026-04-01 08:42:06,RR,126,0.001,0.999,27.4,2569.53,0.99,0.001,0.999,3.47,3142.12,0.028,UP
2026-04-01 08:42:08,RR,128,0.001,0.999,27.4,2568.37,0.997,0.001,0.999,4.63,3142.12,0.028,UP
